Frame Number,Time Stamp (ms),Buffer Index
1439,48307,0
1440,48340,0
1441,48375,0
1442,48409,0
1443,48441,0
1444,48476,0
1445,48509,0
1446,48542,0
1447,48576,0
1448,48609,0
1449,48643,0
1450,48677,0
1451,48710,0
1452,48744,0
1453,48778,0
1454,48811,0
1455,48845,0
1456,48878,0
1457,48911,0
1458,48945,0
1459,48978,0
1460,49013,0
1461,49046,0
1462,49079,0
1463,49114,0
1464,49147,0
1465,49180,0
1466,49214,0
1467,49247,0
1468,49280,0
1469,49315,0
1470,49348,0
1471,49381,0
1472,49416,0
1473,49449,0
1474,49482,0
1475,49517,0
1476,49550,0
1477,49582,0
1478,49616,0
1479,49650,0
1480,49683,0
1481,49717,0
1482,49751,0
1483,49784,0
1484,49818,0
1485,49853,0
1486,49886,0
1487,49919,0
1488,49953,0
1489,49985,0
1490,50020,0
1491,50054,0
1492,50086,0
1493,50121,0
1494,50154,0
1495,50187,0
1496,50221,0
1497,50254,0
1498,50288,0
1499,50322,0
1500,50355,0
1501,50389,0
1502,50423,0
1503,50456,0
1504,50490,0
1505,50524,0
1506,50557,0
1507,50590,0
1508,50624,0
1509,50657,0
1510,50691,0
1511,50724,0
1512,50759,0
1513,50792,0
1514,50825,0
1515,50860,0
1516,50892,0
1517,50926,0
1518,50960,0
1519,50993,0
1520,51027,0
1521,51062,0
1522,51095,0
1523,51128,0
1524,51161,0
1525,51194,0
1526,51228,0
1527,51262,0
1528,51295,0
1529,51329,0
1530,51363,0
1531,51396,0
1532,51430,0
1533,51464,0
1534,51498,0
1535,51531,0
1536,51563,0
1537,51598,0
1538,51631,0
1539,51665,0
1540,51700,0
1541,51732,0
1542,51765,0
1543,51799,0
1544,51832,0
1545,51866,0
1546,51900,0
1547,51933,0
1548,51968,0
1549,52001,0
1550,52034,0
1551,52068,0
1552,52102,0
1553,52135,0
1554,52170,0
1555,52201,0
1556,52235,0
1557,52269,0
1558,52302,0
1559,52336,0
1560,52370,0
1561,52403,0
1562,52437,0
1563,52471,0
1564,52504,0
1565,52538,0
1566,52571,0
1567,52606,0
1568,52638,0
1569,52671,0
1570,52706,0
1571,52739,0
1572,52772,0
1573,52806,0
1574,52840,0
1575,52873,0
1576,52907,0
1577,52940,0
1578,52974,0
1579,53008,0
1580,53041,0
1581,53074,0
1582,53109,0
1583,53142,0
1584,53175,0
1585,53209,0
1586,53243,0
1587,53277,0
1588,53310,0
1589,53345,0
1590,53376,0
1591,53410,0
1592,53445,0
1593,53478,0
1594,53511,0
1595,53546,0
1596,53579,0
1597,53612,0
1598,53647,0
1599,53679,0
1600,53714,0
1601,53747,0
1602,53780,0
1603,53814,0
1604,53848,0
1605,53881,0
1606,53915,0
1607,53948,0
1608,53981,0
1609,54015,0
1610,54049,0
1611,54081,0
1612,54116,0
1613,54149,0
1614,54182,0
1615,54217,0
1616,54250,0
1617,54283,0
1618,54317,0
1619,54351,0
1620,54384,0
1621,54418,0
1622,54452,0
1623,54485,0
1624,54518,0
1625,54553,0
1626,54585,0
1627,54619,0
1628,54653,0
1629,54686,0
1630,54720,0
1631,54754,0
1632,54787,0
1633,54821,0
1634,54855,0
1635,54888,0
1636,54921,0
1637,54956,0
1638,54989,0
1639,55022,0
1640,55055,0
1641,55089,0
1642,55122,0
1643,55156,0
1644,55191,0
1645,55223,0
1646,55257,0
1647,55292,0
1648,55325,0
1649,55358,0
1650,55393,0
1651,55425,0
1652,55459,0
1653,55493,0
1654,55525,0
1655,55561,0
1656,55594,0
1657,55626,0
1658,55661,0
1659,55694,0
1660,55728,0
1661,55762,0
1662,55794,0
1663,55828,0
1664,55862,0
1665,55895,0
1666,55929,0
1667,55963,0
1668,55995,0
1669,56029,0
1670,56064,0
1671,56097,0
1672,56130,0
1673,56164,0
1674,56198,0
1675,56231,0
1676,56265,0
1677,56299,0
1678,56331,0
1679,56365,0
1680,56399,0
1681,56433,0
1682,56466,0
1683,56501,0
1684,56532,0
1685,56566,0
1686,56601,0
1687,56634,0
1688,56667,0
1689,56701,0
1690,56734,0
1691,56768,0
1692,56802,0
1693,56836,0
1694,56869,0
1695,56902,0
1696,56936,0
1697,56969,0
1698,57003,0
1699,57037,0
1700,57070,0
1701,57104,0
1702,57139,0
1703,57171,0
1704,57205,0
1705,57239,0
1706,57272,0
1707,57306,0
1708,57340,0
1709,57372,0
1710,57407,0
1711,57440,0
1712,57473,0
1713,57508,0
1714,57541,0
1715,57573,0
1716,57608,0
1717,57641,0
1718,57674,0
1719,57709,0
1720,57741,0
1721,57775,0
1722,57810,0
1723,57842,0
1724,57876,0
1725,57910,0
1726,57943,0
1727,57977,0
1728,58010,0
1729,58044,0
1730,58078,0
1731,58111,0
1732,58145,0
1733,58178,0
1734,58212,0
1735,58246,0
1736,58279,0
1737,58313,0
1738,58347,0
1739,58381,0
1740,58413,0
1741,58447,0
1742,58480,0
1743,58514,0
1744,58548,0
1745,58581,0
1746,58615,0
1747,58649,0
1748,58682,0
1749,58715,0
1750,58749,0
1751,58784,0
1752,58816,0
1753,58850,0
1754,58884,0
1755,58917,0
1756,58951,0
1757,58985,0
1758,59017,0
1759,59051,0
1760,59085,0
1761,59118,0
1762,59153,0
1763,59186,0
1764,59219,0
1765,59253,0
1766,59287,0
1767,59320,0
1768,59355,0
1769,59387,0
1770,59420,0
1771,59454,0
1772,59487,0
1773,59521,0
1774,59555,0
1775,59588,0
1776,59622,0
1777,59656,0
1778,59689,0
1779,59722,0
1780,59756,0
1781,59790,0
1782,59823,0
1783,59857,0
1784,59891,0
1785,59925,0
1786,59958,0
1787,59992,0
1788,60025,0
1789,60058,0
1790,60093,0
1791,60125,0
1792,60159,0
1793,60194,0
1794,60226,0
1795,60260,0
1796,60295,0
1797,60327,0
1798,60360,0
1799,60394,0
1800,60428,0
1801,60461,0
1802,60495,0
1803,60529,0
1804,60562,0
1805,60596,0
1806,60630,0
1807,60663,0
1808,60696,0
1809,60731,0
1810,60763,0
1811,60797,0
1812,60831,0
1813,60864,0
1814,60898,0
1815,60932,0
1816,60965,0
1817,61000,0
1818,61033,0
1819,61066,0
1820,61101,0
1821,61133,0
1822,61167,0
1823,61200,0
1824,61233,0
1825,61267,0
1826,61301,0
1827,61334,0
1828,61368,0
1829,61402,0
1830,61434,0
1831,61468,0
1832,61502,0
1833,61536,0
1834,61569,0
1835,61603,0
1836,61637,0
1837,61670,0
1838,61704,0
1839,61738,0
1840,61771,0
1841,61805,0
1842,61839,0
1843,61871,0
1844,61904,0
1845,61939,0
1846,61972,0
1847,62005,0
1848,62040,0
1849,62073,0
1850,62107,0
1851,62141,0
1852,62174,0
1853,62207,0
1854,62241,0
1855,62274,0
1856,62307,0
1857,62341,0
1858,62376,0
1859,62409,0
1860,62442,0
1861,62476,0
1862,62509,0
1863,62542,0
1864,62577,0
1865,62611,0
1866,62644,0
